rank,name,surface_km2
371,ALA,811.9996651469103
372,ALA,803.3309746942024
373,ALA,801.0499885272845
374,ALA,798.8064654616395
375,ALA,791.7953451265379
376,ALA,789.5144567530507
377,ALA,783.7566317758932
378,ALA,782.6762369814688
379,ALA,782.099286838638
380,ALA,778.6914707541658
381,ALA,777.8914517169693
382,ALA,774.4897680658188
383,ALA,773.6571092452926
384,ALA,766.9392965705307
385,ALA,757.5107315473896
386,ALA,756.7076406062317
387,ALA,754.2141815827673
388,ALA,750.0129317653987
389,ALA,748.7484252420503
390,ALA,744.6879628050766
391,ALA,744.6201244432419
392,ALA,741.4130706788421
393,ALA,740.1015902028219
394,ALA,735.8329301498943
395,ALA,729.3975919121327
396,ALA,727.0003536482504
397,ALA,722.9525906429539
398,ALA,716.4592657650619
399,ALA,708.9412644030467
400,ALA,706.0909672439107
401,ALA,702.1951849240736
402,ALA,702.0448830451584
403,ALA,696.3244688118665
404,ALA,693.8468289807232
405,ALA,690.9637223189819
406,ALA,690.0915319015562
407,ALA,688.364238686346
408,ALA,687.4266603760177
409,ALA,686.5521036003246
410,ALA,683.1203613404674
411,ALA,680.421601871171
412,ALA,677.8520446913743
413,ALA,677.3144596096877
414,ALA,668.425636815609
415,ALA,663.7549084447822
416,ALA,662.6186672152933
417,ALA,662.0194763847513
418,ALA,659.4896077915457
419,ALA,658.935318518234
420,ALA,655.1757692354685
421,ALA,654.9671660630713
422,ALA,654.1603013873345
423,ALA,652.9972535324513
424,ALA,652.8122103810258
425,ALA,650.9028955746234
426,ALA,649.5461137939683
427,ALA,649.105927881174
428,ALA,645.9075415109662
429,ALA,644.2648813771027
430,ALA,640.2583400271835
431,ALA,639.6756497367496
432,ALA,639.2505946473966
433,ALA,638.5182626080134
434,ALA,633.3386154267148
435,ALA,628.8424328894275
436,ALA,628.7409079501723
437,ALA,628.6489140142618
438,ALA,628.4070358774757
439,ALA,627.2917559153891
440,ALA,624.9145296776212
441,ALA,621.4931900636327
442,ALA,618.1404406337069
443,ALA,614.8863026478127
444,ALA,612.8433258194468
445,ALA,606.9619567431096
446,ALA,605.4077807589703
447,ALA,602.0164394315533
448,ALA,599.2583653004663
449,ALA,596.1998955374289
